Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
31,358,species,Mute Swan,Cygnus olor,,"Downtown Toronto, Toronto, ON, Canada",CA-ON,09 Jul 2023,L29265200,S161550215,N,1
33,324,species,Canada Goose,Branta canadensis,10,Toronto--HTO Park West,CA-ON,09 Jul 2023,L14162082,S144006192,,1
34,33251,species,Red-winged Blackbird,Agelaius phoeniceus,3,Toronto--Harbour Square Park,CA-ON,09 Jul 2023,L450752,S144000353,,1
35,28096,species,American Robin,Turdus migratorius,1,Toronto--Roundhouse Park,CA-ON,09 Jul 2023,L8905862,S143996337,,1
37,28029,species,White-necked Thrush,Turdus albicollis,1,Sítio do Engenho,BR-SP,30 Jun 2023,L21434561,S143165263,,1
38,15932,species,Gray-hooded Flycatcher,Mionectes rufiventris,,"Araçariguama, SP, 18147-000, Brasil",BR-SP,29 Jun 2023,L29265197,S161550216,,1
39,14331,species,Olivaceous Woodcreeper,Sittasomus griseicapillus,1,Sítio do Engenho,BR-SP,26 Jun 2023,L21434561,S142860533,,1
40,7840,species,Black Hawk-Eagle,Spizaetus tyrannus,1,Sítio do Engenho,BR-SP,26 Jun 2023,L21434561,S142772673,,1
41,9346,species,Surucua Trogon,Trogon surrucura,2,Sítio do Engenho,BR-SP,26 Jun 2023,L21434561,S142770049,,1
42,7364,species,Yellow-crowned Night Heron,Nyctanassa violacea,7,Florianópolis--Manguezal do Itacorubi,BR-SC,24 Jun 2023,L21263156,S142551244,,1
43,31369,species,Yellowish Pipit,Anthus chii,2,PNM das Dunas da Lagoa da Conceição--lagoas,BR-SC,24 Jun 2023,L3689144,S142546559,,1
44,30784,species,Common Waxbill,Estrilda astrild,7,PNM das Dunas da Lagoa da Conceição--lagoas,BR-SC,24 Jun 2023,L3689144,S142546559,N,1
46,16388,species,Yellow-bellied Elaenia,Elaenia flavogaster,1,PNM das Dunas da Lagoa da Conceição--lagoas,BR-SC,24 Jun 2023,L3689144,S142546559,,1
47,11694,species,Campo Flicker,Colaptes campestris,1,PNM das Dunas da Lagoa da Conceição--lagoas,BR-SC,24 Jun 2023,L3689144,S142546559,,1
48,7944,species,Long-winged Harrier,Circus buffoni,1,PNM das Dunas da Lagoa da Conceição--lagoas,BR-SC,24 Jun 2023,L3689144,S142546559,,1
49,569,species,Yellow-billed Pintail,Anas georgica,2,PNM das Dunas da Lagoa da Conceição--lagoas,BR-SC,24 Jun 2023,L3689144,S142546559,,1
50,551,species,White-cheeked Pintail,Anas bahamensis,2,PNM das Dunas da Lagoa da Conceição--lagoas,BR-SC,24 Jun 2023,L3689144,S142546559,,1
51,33476,species,Southern Yellowthroat,Geothlypis velata,1,PE do Rio Vermelho--sede,BR-SC,24 Jun 2023,L21155795,S142532439,,1
52,20862,species,Azure Jay,Cyanocorax caeruleus,4,PE do Rio Vermelho--sede,BR-SC,24 Jun 2023,L21155795,S142532439,,1
53,10852,species,Ochre-collared Piculet,Picumnus temminckii,1,PE do Rio Vermelho--sede,BR-SC,24 Jun 2023,L21155795,S142532439,,1
54,5136,species,Glittering-throated Emerald,Chionomesa fimbriata,1,PE do Rio Vermelho--sede,BR-SC,24 Jun 2023,L21155795,S142532439,,1
55,3822,species,White-collared Swift,Streptoprocne zonaris,1,PE do Rio Vermelho--sede,BR-SC,24 Jun 2023,L21155795,S142532439,,1
56,7172,species,Brown Booby,Sula leucogaster,3,ESEC de Carijós--Pontal da Daniela,BR-SC,24 Jun 2023,L3846905,S142524019,,1
57,6713,species,Sandwich Tern,Thalasseus sandvicensis,7,ESEC de Carijós--Pontal da Daniela,BR-SC,24 Jun 2023,L3846905,S142524019,,1
58,6643,species,Yellow-billed Tern,Sternula superciliaris,3,ESEC de Carijós--Pontal da Daniela,BR-SC,24 Jun 2023,L3846905,S142524019,,1
59,6567,species,Black Skimmer,Rynchops niger,28,ESEC de Carijós--Pontal da Daniela,BR-SC,24 Jun 2023,L3846905,S142524019,,1
61,5770,species,American Oystercatcher,Haematopus palliatus,3,ESEC de Carijós--Pontal da Daniela,BR-SC,24 Jun 2023,L3846905,S142524019,,1
62,5741,species,Black-necked Stilt,Himantopus mexicanus,5,ESEC de Carijós--Pontal da Daniela,BR-SC,24 Jun 2023,L3846905,S142524019,,1
63,5414,species,Gray-cowled Wood-Rail,Aramides cajaneus,2,ESEC de Carijós--Pontal da Daniela,BR-SC,24 Jun 2023,L3846905,S142524019,,1
64,835,species,Scaled Chachalaca,Ortalis squamata,3,ESEC de Carijós--Pontal da Daniela,BR-SC,24 Jun 2023,L3846905,S142518270,,1
65,6490,species,Kelp Gull,Larus dominicanus,2,Florianópolis--Jurerê,BR-SC,23 Jun 2023,L11683201,S142472594,,1
66,10028,species,Amazon Kingfisher,Chloroceryle amazona,1,Universidade de São Paulo--Raia Olímpica,BR-SP,21 Jun 2023,L8365520,S142292246,,1
70,13212,species,Great Antshrike,Taraba major,1,FLONA Ipanema--Vila de São João,BR-SP,17 Jun 2023,L9794343,S141978611,,1
71,31504,species,Violaceous Euphonia,Euphonia violacea,1,Sítio do Engenho,BR-SP,05 Jun 2023,L21434561,S140621051,,1
72,16170,species,Yellow-olive Flatbill,Tolmomyias sulphurescens,1,Sítio do Engenho,BR-SP,03 Jun 2023,L21434561,S140329540,,1
